0	8551 Whitfield Ave, Leeds AL 35094	139 Merchant Place, Cobleskill NY 12043
1	330 Sutton Rd, Huntsville AL 35763	3300 South Oates Street, Dothan AL 36301
2	8064 Brewerton Rd, Cicero NY 13039	3164 Berlin Turnpike, Newington CT 6111
3	165 Vaughan Ln, Pell City AL 35125	910 Wolcott St, Waterbury CT 6705
4	301 Falls Blvd, Quincy MA 2169	10040 County Road 48, Fairhope AL 36533
5	2200 South Mckenzie St, Foley AL 36535	139 Merchant Place, Cobleskill NY 12043
6	10675 Hwy 5, Brent AL 35034	3371 S Alabama Ave, Monroeville AL 36460
7	630 Coonial Promenade Pkwy, Alabaster AL 35007	2575 Us Hwy 43, Winfield AL 35594
8	66-4 Parkhurst Rd, Chelmsford MA 1824	3222 State Rt 11, Malone NY 12953
9	312 Palisades Blvd, Birmingham AL 35209	1470 S Washington St, North Attleboro MA 2760
10	630 Coonial Promenade Pkwy, Alabaster AL 35007	3949 Route 31, Clay NY 13041
11	200 Dutch Meadows Ln, Glenville NY 12302	10675 Hwy 5, Brent AL 35034
12	2780 John Hawkins Pkwy, Hoover AL 35244	11697 US Hwy 431, Guntersville AL 35976
13	20 Soojian Dr, Leicester MA 1524	2181 Pelham Pkwy, Pelham AL 35124
14	85 Crooked Hill Road, Commack NY 11725	2001 Glenn Bldv Sw, Fort Payne AL 35968
15	700 Oak Street, Brockton MA 2301	2055 Niagara Falls Blvd, Amherst NY 14228
16	872 Route 13, Cortlandville NY 13045	180 River Rd, Lisbon CT 6351
17	312 Palisades Blvd, Birmingham AL 35209	680 Connecticut Avenue, Norwalk CT 6854
18	7100 Aaron Aronov Drive, Fairfield AL 35064	43 Stephenville St, Massena NY 13662
19	600 Boll Weevil Circle, Enterprise AL 36330	1818 State Route 3, Fulton NY 13069
20	540 West Bypass, Andalusia AL 36420	2055 Niagara Falls Blvd, Amherst NY 14228
21	474 Boston Post Road, North Windham CT 6256	25737 US Rt 11, Evans Mills NY 13637
22	2643 Hwy 280 West, Alexander City AL 35010	333 Main Street, Tewksbury MA 1876
23	72 Main St, North Reading MA 1864	2800 Spring Avn SW, Decatur AL 35603
24	36 Paramount Drive, Raynham MA 2767	2465 Hempstead Turnpike, East Meadow NY 11554
25	4310 Montgomery Hwy, Dothan AL 36303	301 Falls Blvd, Quincy MA 2169
26	13858 Rt 31 W, Albion NY 14411	4300 Lakeville Road, Geneseo NY 14454
27	650 Main Ave, Norwalk CT 6851	515 Sawmill Road, West Haven CT 6516
28	24833 Johnt Reidprkw, Scottsboro AL 35768	262 Swansea Mall Dr, Swansea MA 2777
29	165 Vaughan Ln, Pell City AL 35125	1100 New Haven Road, Naugatuck CT 6770
30	255 W Main St, Avon CT 6001	30 Memorial Drive, Avon MA 2322
31	1818 State Route 3, Fulton NY 13069	3133 E Main St, Mohegan Lake NY 10547
32	600 Boll Weevil Circle, Enterprise AL 36330	655 Boston Post Rd, Old Saybrook CT 6475
33	1300 Montgomery Highway, Vestavia Hills AL 35216	333 Main Street, Tewksbury MA 1876
34	100 Thruway Plaza, Cheektowaga NY 14225	295 Plymouth Street, Halifax MA 2338
35	10401 Bennett Road, Fredonia NY 14063	1600 Montclair Rd, Birmingham AL 35210
36	4310 Montgomery Hwy, Dothan AL 36303	1549 Rt 9, Halfmoon NY 12065
37	680 Connecticut Avenue, Norwalk CT 6854	7155 State Rt 12 S, Lowville NY 13367
